English,Tamil
there's,அங்கு தான்
should,வேண்டும்
anything,எதுவும்
said,கூறினார்
much,அதிகம்
any,ஏதேனும்
life,வாழ்க்கை
even,கூட
off,ஆஃப்
please,தயவு செய்து
doing,செய்து
thank,நன்றி
give,கொடுங்கள்
only,மட்டும்
thought,சிந்தனை
help,உதவி
two,இரண்டு
talk,பேச்சு
people,மக்கள்
god,இறைவன்
still,இன்னும்
wait,காத்திரு
into,உள்ளே
find,கண்டுபிடி
nothing,எதுவும் இல்லை
again,மீண்டும்
things,விஷயங்கள்
let's,பார்ப்போம்
doesn't,இல்லை
call,அழைப்பு
told,கூறினார்
great,நன்று
before,முன்
better,சிறந்தது
ever,எப்போதும்
night,இரவு
than,விட
away,தொலைவில்
first,முதல்
believe,நம்புங்கள்
other,மற்றொன்று
feel,உணருங்கள்
everything,எல்லாம்
work,வேலை
you've,உன்னிடம்
fine,அபராதம்
home,வீடு
after,பிறகு
last,கடந்த
these,இவை
day,நாள்
keep,வை
does,செய்யும்
put,போடு
around,சுற்றி
stop,நிறுத்து
they're,அவர்கள்
I'd,நான்
guy,பையன்
long,நீண்ட
isn't,இல்லை
always,எப்போதும்
listen,கேளுங்கள்
wanted,தேவை
Mr.,திரு.
guys,நண்பர்களே
huh,ஹூ
those,அவை
big,பெரியது
lot,நிறைய
happened,நடந்தது
thanks,நன்றி
won't,இல்லை
trying,முயற்சி
kind,கருணை
wrong,தவறு
through,மூலம்
talking,பேசுகிறார்
made,செய்து
new,புதியது
being,இருப்பது
guess,யூகிக்கவும்
hi,வணக்கம்
care,பராமரிப்பு
bad,மோசமான
mom,அம்மா
remember,நினைவில்
getting,பெறுதல்
we'll,நாங்கள் செய்வோம்
together,ஒன்றாக
dad,அப்பா
leave,விடுப்பு
mother,அம்மா
place,இடம்
understand,புரிந்து
wouldn't,இல்லை
actually,உண்மையில்
hear,கேள்
baby,குழந்தை
nice,நல்லது
father,அப்பா
else,வேறு
stay,தங்க
done,முடிந்தது
wasn't,இல்லை
their,அவர்களது
course,பாடநெறி
might,இருக்கலாம்
mind,மனம்
every,ஒவ்வொன்றும்
enough,போதும்
try,முயற்சி
hell,நரகம்
came,வந்தது
someone,யாரோ
you'll,நீங்கள்
own,சொந்தமானது
family,குடும்பம்
whole,முழு
another,மற்றொன்று
house or House,வீடு அல்லது வீடு
Jack or jack,ஜாக் அல்லது ஜாக்
yourself,நீங்களே
idea,யோசனை
ask,கேளுங்கள்
best,சிறந்த
must,வேண்டும்
coming,வருகிறது
old,பழைய
looking,பார்க்கிறேன்
woman,பெண்
hello,வணக்கம்
which,எந்த
years,ஆண்டுகள்
room,அறை
money,பணம்
left,இடது
knew,தெரியும்
tonight,இன்றிரவு
real,உண்மையான
son,மகன்
hope,நம்பிக்கை
name,பெயர்
same,அதே
went,சென்றார்
um,உம்
hmm,ஹ்ம்
happy,சந்தோஷமாக
pretty,அழகான
saw,பார்த்தேன்
girl,பெண்
sir,ஐயா
show,காட்டு
friend,நண்பர்
already,ஏற்கனவே
saying,சொல்கிறது
may or May,இருக்கலாம் அல்லது இருக்கலாம்
next,அடுத்தது
three,மூன்று
job,வேலை
problem,பிரச்சனை
minute,நிமிடங்கள்
found,கண்டறியப்பட்டது
world,உலகம்
thinking,சிந்தனை
haven't,இல்லை
heard,கேள்விப்பட்டேன்
honey,தேன்
matter,விஷயம்
myself,நானே
couldn't,முடியவில்லை
exactly,சரியாக
having,வைத்திருத்தல்
ah,ஆ
probably,அநேகமாக
happen,நடக்கும்
we've,நாங்கள்
hurt,காயம்
boy,சிறுவன்
both,இரண்டும்
while,போது
dead,இறந்துவிட்டார்
gotta,கோட்டா
alone,தனியாக
since,முதல்
excuse,சாக்குப்போக்கு
start,தொடக்க
kill,கொல்லுங்கள்
hard,கடினமானது
you'd,நீங்கள் விரும்புவீர்கள்
today,இன்று
car,கார்
ready,தயார்
until,வரை
without,இல்லாமல்
whatever,எதுவாக
wants,விரும்புகிறது
hold,பிடி
wanna,வேண்டும்
yet,இன்னும்
seen,பார்த்தேன்
deal,ஒப்பந்தம்
took,எடுத்தது
once,ஒருமுறை
gone,சென்றது
called,அழைக்கப்பட்டார்
morning,காலை
supposed,வேண்டும்
friends,நண்பர்கள்
head,தலை
stuff,பொருள்
most,பெரும்பாலானவை
used,பயன்படுத்தப்பட்டது
worry,கவலை
second,இரண்டாவது
part,பகுதி
live,வாழ
truth,உண்மை
school,பள்ளி
face,முகம்
forget,மறந்துவிடு
TRUE,உண்மை
business,வணிக
each,ஒவ்வொன்றும்
cause,காரணம்
soon,விரைவில்
knows,தெரியும்
few,சில
telling,சொல்வது
wife,மனைவி
who's,யார்
use,பயன்படுத்தவும்
chance,வாய்ப்பு
run,ஓடு
move,நகர்வு
anyone,யாராவது
person,நபர்
bye,வருகிறேன்
J.,ஜெ.
somebody,யாரோ
Dr. or dr.,டாக்டர் அல்லது டாக்டர்.
heart,இதயம்
such,அத்தகைய
miss,செல்வி
married,திருமணம்
point,புள்ளி
later,பின்னர்
making,தயாரித்தல்
meet,சந்திப்பு
anyway,எப்படியும்
many,நிறைய
phone,தொலைபேசி
reason,காரணம்
damn,அடடா
lost,இழந்தது
looks,தெரிகிறது
bring,கொண்டு வாருங்கள்
case,வழக்கு
turn,திருப்பம்
wish,விரும்பும்
tomorrow,நாளை
kids,குழந்தைகள்
trust,நம்பிக்கை
check,காசோலை
change,மாற்றம்
end,முடிவு
late,தாமதமாக
anymore,இனி
five,ஐந்து
least,குறைந்தது
town,நகரம்
aren't,இல்லை
ha,ஹெக்டேர்
working,வேலை
year,ஆண்டு
makes,செய்கிறது
taking,எடுக்கும்
means,பொருள்
brother,சகோதரன்
play,விளையாடுங்கள்
hate,வெறுப்பு
ago,முன்பு
says,என்கிறார்
beautiful,அழகு
gave,கொடுத்தார்
fact,உண்மை
crazy,பைத்தியம்
party,கட்சி
sit,உட்கார
open,திறந்த
afraid,பயம்
between,இடையில்
important,முக்கியமான
rest,ஓய்வு
fun,வேடிக்கை
kid,குழந்தை
word,சொல்
watch,வாட்ச்
glad,மகிழ்ச்சி
everyone,எல்லோரும்
days,நாட்களில்
sister,சகோதரி
minutes,நிமிடங்கள்
everybody,எல்லோரும்
bit,பிட்
couple,ஜோடி
whoa,அட
either,ஒன்று
Mrs.,திருமதி.
feeling,உணர்வு
daughter,மகள்
wow,ஆஹா
gets,பெறுகிறது
asked,கேட்டார்
under,கீழ்
break,இடைவெளி
promise,வாக்குறுதி
door,கதவு
set,அமைக்கவும்
close,நெருக்கமான
hand,கை
easy,சுலபம்
question,கேள்வி
doctor,மருத்துவர்
tried,முயற்சித்தேன்
far,இதுவரை
walk,நட
needs,தேவைகள்
trouble,சிக்கல்
mine,என்னுடையது
though,என்றாலும்
times,முறை
different,வெவ்வேறு
killed,கொல்லப்பட்டார்
hospital,மருத்துவமனை
anybody,யாராவது
Sam or SAM,சாம் அல்லது சாம்
alright,சரி
wedding,திருமண
shut,மூடு
able,முடியும்
die,இறக்க
perfect,சரியானது
police,காவல்
stand,நிற்க
comes,வருகிறது
hit,வெற்றி
story,கதை
ya,யா
mm,மிமீ
waiting,காத்திருக்கிறது
dinner,இரவு உணவு
against,எதிராக
funny,வேடிக்கையான
husband,கணவர்
almost,கிட்டத்தட்ட
stupid,முட்டாள்
pay,செலுத்துங்கள்
answer,பதில்
four,நான்கு
office,அலுவலகம்
cool,குளிர்
eyes,கண்கள்
news,செய்தி
child,குழந்தை
shouldn't,கூடாது
half,பாதி
side,பக்க
yours,உங்களுடையது
moment,கணம்
sleep,தூங்கு
read,படி
where's,எங்கே
started,தொடங்கியது
young,இளம்
men,ஆண்கள்
sounds,ஒலிகள்
sonny or Sonny,சோனி அல்லது சோனி
lucky,அதிர்ஷ்டம்
pick,தேர்ந்தெடு
sometimes,சில நேரங்களில்
em,எம்
bed,படுக்கை
also,மேலும்
date,தேதி
line,வரி
plan,திட்டம்
hours,மணி
lose,இழக்க
fire,தீ
free,இலவசம்
hands,கைகள்
serious,தீவிரமான
Leo,லியோ
shit,மலம்
behind,பின்னால்
inside,உள்ளே
high,உயர்ந்த
ahead,முன்னால்
week,வாரம்
wonderful,அற்புதம்
T.,டி.
fight,சண்டை
past,கடந்த
cut,வெட்டு
quite,மிகவும்
number,எண்
he'll,நரகம்
sick,நோய்வாய்ப்பட்டது
S.,எஸ்
it'll,அது
game,விளையாட்டு
eat,சாப்பிடுங்கள்
nobody,யாரும்
goes,செல்கிறது
death,இறப்பு
along,உடன்
save,சேமிக்கவும்
seems,தெரிகிறது
finally,இறுதியாக
lives,வாழ்க்கை
worried,கவலை
upset,வருத்தமாக
Theresa,தெரசா
Carly,கார்லி
Ethan,ஈதன்
met,சந்தித்தது
book,நூல்
brought,கொண்டு வரப்பட்டது
seem,தெரிகிறது
sort,வகைபடுத்து
safe,பாதுகாப்பானது
living,வாழ்க்கை
children,குழந்தைகள்
weren't,இல்லை
leaving,வெளியேறுதல்
front,முன்
shot,ஷாட்
loved,நேசித்தேன்
asking,கேட்டுக்கொள்கிறோம்
running,ஓடுதல்
clear,தெளிவான
figure,படம்
hot,சூடான
felt,உணர்ந்தேன்
six,ஆறு
parents,பெற்றோர்
drink,பானம்
absolutely,முற்றிலும்
how's,எப்படி
daddy,அப்பா
sweet,இனிப்பு
alive,உயிருடன்
Paul,பால்
sense,உணர்வு
meant,பொருள்
happens,நடக்கும்
David,டேவிட்
special,சிறப்பு
bet,பந்தயம்
blood,இரத்தம்
ain't,இல்லை
kidding,விளையாடினேன்
lie,பொய்
full,முழு
meeting,சந்தித்தல்
dear,அன்பே
coffee,கொட்டைவடி நீர்
seeing,பார்ப்பது
sound,ஒலி
fault,தவறு
water,தண்ணீர்
fuck,ஃபக்
ten,பத்து
women,பெண்கள்
John or john,ஜான் அல்லது ஜான்
welcome,வரவேற்பு
buy,வாங்க
months,மாதங்கள்
hour,மணி
speak,பேசு
lady,பெண்
Jen,ஜென்
thinks,சிந்திக்கிறது
Christmas,கிறிஸ்துமஸ்
body,உடல்
order,ஒழுங்கு
outside,வெளியே
hang,தொங்கு
possible,சாத்தியம்
worse,மோசமானது
company,நிறுவனம்
mistake,தவறு
ooh,ஓ
handle,கைப்பிடி
spend,செலவு
C.,சி
totally,முற்றிலும்
giving,கொடுக்கும்
control,கட்டுப்பாடு
here's,இங்கே
marriage,திருமணம்
realize,உணருங்கள்
D.,டி.
power,சக்தி
president,ஜனாதிபதி
unless,தவிர
sex,செக்ஸ்
girls,பெண்கள்
send,அனுப்பு
needed,தேவை
O. or o,O. அல்லது o
taken,எடுக்கப்பட்டது
died,இறந்தார்
scared,பயம்
picture,படம்
talked,பேசினார்
Jake,ஜேக்
Al,அல்
ass,கழுதை
hundred,நூறு
changed,மாற்றப்பட்டது
completely,முற்றிலும்
explain,விளக்க
playing,விளையாடுவது
certainly,நிச்சயமாக
sign,அடையாளம்
boys,சிறுவர்கள்
relationship,உறவு
Michael,மைக்கேல்
loves,நேசிக்கிறார்
fucking,செக்ஸ்
hair,முடி
lying,பொய்
choice,தேர்வு
anywhere,எங்கும்
secret,ரகசியம்
future,எதிர்காலம்
weird,வித்தியாசமானது
luck,அதிர்ஷ்டம்
she'll,அவள்
Max or max.,அதிகபட்சம் அல்லது அதிகபட்சம்.
Luis,லூயிஸ்
turned,திரும்பியது
known,தெரிந்த
touch,தொடு
kiss,முத்தம்
Crane or crane,கிரேன் அல்லது கிரேன்
questions,கேள்விகள்
obviously,வெளிப்படையாக
wonder,ஆச்சரியம்
pain,வலி
calling,அழைப்பு
somewhere,எங்கோ
throw,வீசு
straight,நேராக
Grace or grace,அருள் அல்லது அருள்
cold,குளிர்
white or White,வெள்ளை அல்லது வெள்ளை
fast,வேகமாக
Natalie,நடாலி
words,சொற்கள்
R.,ஆர்.
food,உணவு
none,எதுவுமில்லை
drive,இயக்கி
feelings,உணர்வுகள்
they'll,அவர்கள் இருப்பார்கள்
worked,வேலை செய்தது
marry,திருமணம்
light,ஒளி
test,சோதனை
drop,கைவிட
cannot,முடியாது
Frank,பிராங்க்
sent,அனுப்பப்பட்டது
city,நகரம்
dream,கனவு
protect,பாதுகாக்க
twenty,இருபது
class,வர்க்கம்
Lucy,லூசி
surprise,ஆச்சரியம்
its,அதன்
sweetheart,அன்பே
forever,என்றென்றும்
poor,ஏழை
looked,பார்த்தேன்
mad,பைத்தியம்
except,தவிர
gun,துப்பாக்கி
dance,நடனம்
takes,எடுக்கும்
appreciate,பாராட்ட
especially,குறிப்பாக
situation,நிலைமை
besides,தவிர
weeks,வாரங்கள்
pull,இழுக்கவும்
himself,தன்னை
hasn't,இல்லை
act,நாடகம்
worth,மதிப்பு
Sheridan,ஷெரிடன்
amazing,ஆச்சரியம்
top,மேல்
given,கொடுக்கப்பட்ட
expect,எதிர்பார்க்கலாம்
Ben,பென்
rather,மாறாக
Julian,ஜூலியன்
involved,சம்பந்தப்பட்ட
swear,சத்தியம்
piece,துண்டு
busy,பரபரப்பு
law,சட்டம்
decided,முடிவு
black or Black,கருப்பு அல்லது கருப்பு
Joey,ஜோயி
happening,நடக்கிறது
movie,படம்
we'd,திருமணம் செய்
catch,பிடி
Antonio,அன்டோனியோ
country,நாடு
less,குறைவாக
perhaps,ஒருவேளை
step,படி
fall,வீழ்ச்சி
watching,பார்ப்பது
kept,வைக்கப்பட்டது
darling,டார்லிங்
dog,நாய்
Ms.,செல்வி.
win,வெற்றி
air,காற்று
honor,மரியாதை
personal,தனிப்பட்ட
moving,நகரும்
till,வரை
admit,அனுமதிக்கவும்
problems,சிக்கல்கள்
murder,கொலை
strong,வலுவான
he'd,அவர்
evil,தீமை
definitely,நிச்சயமாக
feels,உணர்கிறது
information,தகவல்
honest,நேர்மையானது
eye,கண்
broke,உடைந்தது
missed,தவறவிட்டது
longer,நீண்ட
dollars,டாலர்கள்
tired,சோர்வாக
Jason,ஜேசன்
George,ஜார்ஜ்
evening,சாயங்காலம்
human,மனிதன்
starting,தொடங்குகிறது
Ross,ரோஸ்
red,சிவப்பு
entire,முழு
trip,பயணம்
Brooke,ப்ரூக்
E.,இ.
club,சங்கம்
Niles,நைல்ஸ்
suppose,வைத்துக்கொள்வோம்
calm,அமைதியானது
imagine,கற்பனை செய்து பாருங்கள்
Todd,டாட்
fair,நியாயமான
caught,பிடிபட்டது
B.,பி.
blame,பழி
street,தெரு
sitting,உட்கார்ந்து
favor,ஆதரவாக
apartment,அடுக்குமாடி இல்லங்கள்
court,நீதிமன்றம்
terrible,பயங்கரமான
clean,சுத்தமான
Tony or tony,டோனி அல்லது டோனி
learn,அறிய
Alison,அலிசன்
Rick,ரிக்
works,படைப்புகள்
Rose or rose,ரோஜா அல்லது ரோஜா
Frasier,ஃப்ரேசியர்
relax,ஓய்வெடுங்கள்
York,யார்க்
million,மில்லியன்
charity,தொண்டு
accident,விபத்து
wake,விழித்தெழு
prove,நிரூபிக்க
Danny,டேனி
smart,புத்திசாலி
message,செய்தி
missing,இல்லை
forgot,மறந்துவிட்டேன்
small,சிறிய
interested,ஆர்வம்
table,மேசை
nbsp,nbsp
become,ஆக
Craig,கிரேக்
mouth,வாய்
pregnant,கர்ப்பிணி
middle,நடுத்தர
Billy or billy,பில்லி அல்லது பில்லி
ring,மோதிரம்
careful,கவனமாக
shall,வேண்டும்
dude,கனா
team,அணி
ride,சவாரி
figured,உருவானது
wear,அணியுங்கள்
shoot,படப்பிடிப்பு
stick,குச்சி
Ray or ray,கதிர் அல்லது கதிர்
follow,பின்தொடர்
Bo,போ
angry,கோபம்
instead,அதற்கு பதிலாக
buddy,நண்பன்
write,எழுதுங்கள்
stopped,நிறுத்தப்பட்டது
early,ஆரம்ப
Angel or angel,தேவதை அல்லது தேவதை
Nick or nick,நிக் அல்லது நிக்
ran,ஓடியது
war,போர்
standing,நின்று
forgive,மன்னியுங்கள்
jail,சிறை
wearing,அணிந்து
Miguel,மிகுவல்
ladies,பெண்கள்
kinda,கிண்டா
lunch,மதிய உணவு
Cristian,கிறிஸ்டியன்
eight,எட்டு
Greenlee,கிரீன்லீ
gotten,கிடைத்தது
hoping,நம்புவது
Phoebe,ஃபோப்
thousand,ஆயிரம்
ridge,ரிட்ஜ்
music,இசை
Luke,லூக்கா
paper,காகிதம்
tough,கடினமான
tape,டேப்
Emily,எமிலி
state,நிலை
count,எண்ணுங்கள்
college,கல்லூரி
boyfriend,காதலன்
proud,பெருமை
agree,ஒப்புக்கொள்கிறேன்
birthday,பிறந்த நாள்
bill,ர சி து
seven,ஏழு
they've,அவர்கள் இருக்கிறார்கள்
Timmy,டிம்மி
history,வரலாறு
share,பகிர்
offer,சலுகை
hurry,அவசரம்
feet,அடி
wondering,ஆச்சரியம்
simple,எளிய
decision,முடிவு
building,கட்டிடம்
ones,ஒன்று
finish,முடிக்க
voice,குரல்
herself,தன்னை
Chris,கிறிஸ்
would've,இருக்கும்
list,பட்டியல்
Kay,கே
mess,குழப்பம்
deserve,தகுதி
evidence,சான்றுகள்
cute,அழகான
Jerry,ஜெர்ரி
dress,உடை
Richard,ரிச்சர்ட்
interesting,சுவாரஸ்யமானது
Jesus,கிறிஸ்தவ சமயத்தை தோற்றுவித்தவர்
James,ஜேம்ஸ்
hotel,ஹோட்டல்
enjoy,மகிழுங்கள்
Ryan,ரியான்
Lindsay,லிண்ட்சே
quiet,அமைதியாக
concerned,சம்பந்தப்பட்ட
road,சாலை
Eve or eve,ஈவ் அல்லது ஈவ்
staying,தங்குவது
short,குறுகிய
beat,அடி
sweetie,செல்லம்
mention,குறிப்பு
clothes,ஆடைகள்
finished,முடிந்தது
fell,விழுந்தது
neither,இல்லை
mmm,ம்ம்
fix,சரிசெய்யவும்
Victor or victor,விக்டர் அல்லது விக்டர்
respect,மரியாதை
spent,செலவழித்தது
prison,சிறையில்
attention,கவனம்
holding,வைத்திருத்தல்
calls,அழைப்புகள்
near,அருகில்
surprised,ஆச்சரியம்
bar,மதுக்கூடம்
Beth,பெத்
pass,பாஸ்
keeping,வைத்திருத்தல்
gift,பரிசு
hadn't,இல்லை
putting,போடுவது
dark,இருள்
self,சுய
owe,கடன்பட்டுள்ளார்
using,பயன்படுத்துகிறது
Nora,நோரா
ice,பனி
helping,உதவி
bitch,பிச்
normal,சாதாரண
aunt,அத்தை
lawyer,வழக்கறிஞர்
apart,தவிர
certain,சில
plans,திட்டங்கள்
Jax,ஜாக்ஸ்
girlfriend,காதலி
floor,தரை
whether,இல்லையா
everything's,எல்லாம்
present,தற்போது
earth,பூமி
private,தனிப்பட்ட
Jessica,ஜெசிகா
box,பெட்டி
Dawson,டாசன்
cover,கவர்
judge,நீதிபதி
upstairs,மாடிக்கு
Alexis,அலெக்சிஸ்
Shawn,ஷான்
sake,நிமித்தம்
mommy,மம்மி
possibly,ஒருவேளை
worst,மோசமான
